No.,n(r/min),vf(mm/r),ap(mm),ae(mm),P(kw)
1,500,140,2,9,0.93
2,900,140,2,9,1
3,1300,140,2,9,1.1
4,1700,140,2,9,1.19
5,2100,140,2,9,1.29
6,500,180,2,3,0.89
7,900,180,2,3,0.92
8,1300,180,2,3,1.03
9,1700,180,2,3,1.13
10,2100,180,2,3,1.22
11,500,120,1.5,6,0.89
12,900,120,1.5,6,0.93
13,1300,120,1.5,6,1.03
14,1700,120,1.5,6,1.13
15,2100,120,1.5,6,1.24
16,500,220,1.5,6,0.91
17,900,220,1.5,6,0.98
18,1300,220,1.5,6,1.09
19,1700,220,1.5,6,1.19
20,2100,220,1.5,6,1.3
21,500,200,1,3,0.89
22,900,200,1,3,0.93
23,1300,200,1,3,0.99
24,1700,200,1,3,1.09
25,2100,200,1,3,1.19
26,500,160,0.5,3,0.87
27,900,160,0.5,3,0.92
28,1300,160,0.5,3,0.98
29,1700,160,0.5,3,1.06
30,2100,160,0.5,3,1.15
31,500,240,0.5,9,0.89
32,900,240,0.5,9,0.93
33,1300,240,0.5,9,1.03
34,1700,240,0.5,9,1.12
35,2100,240,0.5,9,1.21
