list,n(r/min),f(mm/r),ap(mm),MRR(mm3/s),P(W)
1,300,0.1,0.5,70.69,1036.46
2,300,0.15,0.75,159.04,1116.91
3,300,0.2,1,282.74,1192.15
4,300,0.25,1.25,441.79,1311.27
5,400,0.1,0.75,141.37,1162.54
6,400,0.15,0.5,141.37,1157.45
7,400,0.2,1.25,471.24,1340.87
8,400,0.25,1,471.24,1397.39
9,500,0.1,1,235.62,1282.83
10,500,0.15,1.25,441.79,1423.28
11,500,0.2,0.5,235.62,1278.52
12,500,0.25,0.75,441.79,1429.31
13,600,0.1,1.25,353.43,1397.83
14,600,0.15,1,424.12,1445.83
15,600,0.2,0.75,424.12,1448.68
16,600,0.25,0.5,353.43,1396.5
17,500,0.1,0.75,57.33,1106.1
18,300,0.2,0.75,76.33,908.2
19,600,0.25,0.75,95.33,1131.2
20,400,0.25,1.25,162.5,961.5
